,uid,iid,rating
0,xj09c8_l8rSCI_8_F0yC8Q,FB2iUwS4-LMLBQVyLZmZfQ,2.0
1,FuQhthi1rfpFc4FR7YZTLQ,XSCYYvstSpCVW8wC7rJT7w,1.0
2,d4O272njR9F1TydrEG8TDw,gwd1W_0Mgzqo3QxgXrt16Q,3.0
3,c72nKRCJ8f4afpUE1tGciQ,sVoeqb0-JCf82n4z9cUJLA,3.0
4,FSw3Kk2Ssn6vUe9asc5vsA,jXHmmircEbhQmZjWDR1xIA,5.0
5,X7IrHlZnjjTmzC3kB-nafw,uMbSCjf6D9-rZOOXQyz9LA,5.0
6,1jbAZCXnpbO1GmjhXvO7Ew,PqcOSnCsJTT9Yd2xWKIMWw,5.0
7,JSBG7uMpQMJ5EoOp077UUw,s-6Wl5AmE-vtZca2zk2hxg,3.0
8,pvE2Z9B7ouoYY_mW1qzT1Q,y1eeVRfJa22CCpUCeNfrSw,4.0
9,v5s6iQLNqbWQBM6wQ3XmMw,h8cJUgjj9KxxJoj62fHWRA,3.0
10,cVSP8voALaOAseTtcj_nfw,nsE4LgI-HP5zERoMRv5hHw,3.0
11,y8OOQjBKqesql7sL4kPm6A,tMKblwX0CeCDZbCz6ruyPg,4.0
12,Z5SMn_JVZGtvgF7As2sNCg,LUZ94dZpgCmBGyNH52S7lg,5.0
13,ZRCbX9IdQhTjzVrkQeX8zw,MU66syW7PEAKbsWCSw8h4A,5.0
14,yqRU7dBgC9ByIvW6E2uUGw,_5UAFrD3EDgJO1aZgRxH7w,2.0
15,wklmU8CM7czQQBuhOC4k9A,2um9bzTSvD3f2tkdBoA38g,5.0
16,-IHoIBRzbusJ5OC-1S_N1A,ZNA27YNqJPVtN_H76HMFYQ,5.0
17,bdIojX6sPxCLWIfAmy_MdA,1MvR4NJQbHy0i7ME1IoYpw,4.0
18,2xYSFoRDgR0ZvHON9ENM4w,ZdqiRrUik1GWAcMWb2iBdw,5.0
19,IBO0RWBMGbGziHUVq-j0IQ,uGzxwS3Q6QuyFw2ZnDvw0w,4.0
20,sepccWn1uiKIT8EcbZ3pXQ,3H48sIcoOooMFsTME0Jm_Q,2.0
21,JD714eDff2NlTx2gFTFkBg,9dqdzRzjSfbnMvjUGqWBAw,5.0
22,YZZaaZGdZ08L1h3XWPrwJw,ApAzthiFRKuL-yJo1HMFvQ,4.0
23,oGUt33nowTxn6DpNTypAPw,jcasci3gjbsSuTEVzvDQKg,3.0
24,oAjwwThquuMix1m1K9JlaA,PqcOSnCsJTT9Yd2xWKIMWw,5.0
25,6jS6HA69mpZaWE_65Q9zGA,aO1gAp41n8w8zpxTiHdLNA,5.0
26,5CgjjDAic2-FAvCtiHpytA,ExtP8z3SVyut_RICc9i_DA,4.0
27,YZZaaZGdZ08L1h3XWPrwJw,TUh95aNu9iDLUDzqSJNXQA,4.0
28,P14bqC_Ynbp8O3tLePRKSw,5q6Xh-UcJa78bp6dzyaE7w,5.0
29,E5FAO9nA_5tfoeG83k7hwg,hggVnGwA5042-ABxqeJX-A,5.0
30,rmtrH3ELVipj4iFwHHw3Fw,zaLFPpm-t89qSDOaFVgwDQ,3.0
31,B5euhZ_KOtCyeC7jf_InBQ,su6PPlJWHlDv1r_fu4f5ZQ,4.0
32,7jev9oqE9jawRKXAb7Vq_g,J3_FTjy9LAtTtoW_cLwPxg,4.0
33,qslnkkXQSUIjXxtx23oy-w,PdCxX1QJnlBkvnG9fFjWYg,5.0
34,Kf4UB9nNa1tdvMq0CjCgew,WvC9K0ZEOTbR7fh-LNe5_A,3.0
35,o2pZO42pH0_xXrcRYG31xw,KEGLWeFAWXvo0W2LnujhtQ,5.0
36,FHKw_ueB5P2BDlQirT8ilQ,J3_FTjy9LAtTtoW_cLwPxg,5.0
